,participant,other_participant,round_nb,all_cond,manip,trial_cond,other_player_str,participant_str
0,1,4,1,EC_sub,submissive,EC,4,1
1,4,1,1,EC_dom,dominant,EC,1,4
0,6,2,1,EC_sub,submissive,EC,2,6
1,2,6,1,EC_dom,dominant,EC,6,2
0,5,3,1,EC_sub,submissive,EC,3,5
1,3,5,1,EC_dom,dominant,EC,5,3
0,6,5,2,ENC_dom,dominant,ENC,5,6
0,4,3,2,ENC_dom,dominant,ENC,3,4
1,2,1,2,ENC_sub,submissive,ENC,1,2
0,1,2,2,ENC_dom,dominant,ENC,2,1
1,5,6,2,ENC_sub,submissive,ENC,6,5
1,3,4,2,ENC_sub,submissive,ENC,4,3
1,6,1,3,EC_sub,submissive,EC,1,6
0,3,2,3,EC_dom,dominant,EC,2,3
1,2,3,3,EC_sub,submissive,EC,3,2
0,4,5,3,EC_dom,dominant,EC,5,4
1,5,4,3,EC_sub,submissive,EC,4,5
0,1,6,3,EC_dom,dominant,EC,6,1
0,1,3,4,EC_sub,submissive,EC,3,1
1,3,1,4,EC_dom,dominant,EC,1,3
1,6,4,4,EC_dom,dominant,EC,4,6
1,2,5,4,EC_dom,dominant,EC,5,2
0,4,6,4,EC_sub,submissive,EC,6,4
0,5,2,4,EC_sub,submissive,EC,2,5
0,4,5,5,EC_dom,dominant,EC,5,4
0,1,6,5,EC_dom,dominant,EC,6,1
1,6,1,5,EC_sub,submissive,EC,1,6
0,3,2,5,EC_dom,dominant,EC,2,3
1,2,3,5,EC_sub,submissive,EC,3,2
1,5,4,5,EC_sub,submissive,EC,4,5
0,4,6,6,ENC_sub,submissive,ENC,6,4
1,2,5,6,ENC_dom,dominant,ENC,5,2
0,5,2,6,ENC_sub,submissive,ENC,2,5
1,3,1,6,ENC_dom,dominant,ENC,1,3
0,1,3,6,ENC_sub,submissive,ENC,3,1
1,6,4,6,ENC_dom,dominant,ENC,4,6
0,3,6,7,EC_sub,submissive,EC,6,3
1,2,4,7,EC_dom,dominant,EC,4,2
0,4,2,7,EC_sub,submissive,EC,2,4
1,5,1,7,EC_dom,dominant,EC,1,5
0,1,5,7,EC_sub,submissive,EC,5,1
1,6,3,7,EC_dom,dominant,EC,3,6
0,1,6,8,HNC_dom,dominant,HNC,6,1
1,5,4,8,HNC_sub,submissive,HNC,4,5
1,6,1,8,HNC_sub,submissive,HNC,1,6
0,4,5,8,HNC_dom,dominant,HNC,5,4
1,2,3,8,HNC_sub,submissive,HNC,3,2
0,3,2,8,HNC_dom,dominant,HNC,2,3
0,6,2,9,ENC_sub,submissive,ENC,2,6
1,4,1,9,ENC_dom,dominant,ENC,1,4
0,1,4,9,ENC_sub,submissive,ENC,4,1
1,2,6,9,ENC_dom,dominant,ENC,6,2
0,5,3,9,ENC_sub,submissive,ENC,3,5
1,3,5,9,ENC_dom,dominant,ENC,5,3
1,5,6,10,EC_sub,submissive,EC,6,5
0,6,5,10,EC_dom,dominant,EC,5,6
1,3,4,10,EC_sub,submissive,EC,4,3
0,4,3,10,EC_dom,dominant,EC,3,4
1,2,1,10,EC_sub,submissive,EC,1,2
0,1,2,10,EC_dom,dominant,EC,2,1
1,6,3,11,ENC_dom,dominant,ENC,3,6
0,1,5,11,ENC_sub,submissive,ENC,5,1
1,5,1,11,ENC_dom,dominant,ENC,1,5
0,4,2,11,ENC_sub,submissive,ENC,2,4
1,2,4,11,ENC_dom,dominant,ENC,4,2
0,3,6,11,ENC_sub,submissive,ENC,6,3
1,6,4,12,EC_dom,dominant,EC,4,6
0,1,2,12,EC_sub,submissive,EC,2,1
1,2,1,12,EC_dom,dominant,EC,1,2
0,3,5,12,EC_sub,submissive,EC,5,3
0,4,6,12,EC_sub,submissive,EC,6,4
1,5,3,12,EC_dom,dominant,EC,3,5
1,6,3,13,ENC_sub,submissive,ENC,3,6
0,1,5,13,ENC_dom,dominant,ENC,5,1
1,5,1,13,ENC_sub,submissive,ENC,1,5
1,2,4,13,ENC_sub,submissive,ENC,4,2
0,4,2,13,ENC_dom,dominant,ENC,2,4
0,3,6,13,ENC_dom,dominant,ENC,6,3
1,6,3,14,EC_sub,submissive,EC,3,6
0,3,6,14,EC_dom,dominant,EC,6,3
1,2,1,14,EC_sub,submissive,EC,1,2
0,1,2,14,EC_dom,dominant,EC,2,1
1,5,4,14,EC_sub,submissive,EC,4,5
0,4,5,14,EC_dom,dominant,EC,5,4
1,6,1,15,ENC_sub,submissive,ENC,1,6
0,3,2,15,ENC_dom,dominant,ENC,2,3
1,2,3,15,ENC_sub,submissive,ENC,3,2
0,4,5,15,ENC_dom,dominant,ENC,5,4
1,5,4,15,ENC_sub,submissive,ENC,4,5
0,1,6,15,ENC_dom,dominant,ENC,6,1
0,4,3,16,HNC_sub,submissive,HNC,3,4
1,3,4,16,HNC_dom,dominant,HNC,4,3
0,6,5,16,HNC_sub,submissive,HNC,5,6
1,5,6,16,HNC_dom,dominant,HNC,6,5
1,2,1,16,HNC_dom,dominant,HNC,1,2
0,1,2,16,HNC_sub,submissive,HNC,2,1
1,5,1,17,EC_sub,submissive,EC,1,5
1,6,3,17,EC_sub,submissive,EC,3,6
0,3,6,17,EC_dom,dominant,EC,6,3
1,2,4,17,EC_sub,submissive,EC,4,2
0,4,2,17,EC_dom,dominant,EC,2,4
0,1,5,17,EC_dom,dominant,EC,5,1
0,1,3,18,ENC_dom,dominant,ENC,3,1
1,3,1,18,ENC_sub,submissive,ENC,1,3
0,5,2,18,ENC_dom,dominant,ENC,2,5
1,2,5,18,ENC_sub,submissive,ENC,5,2
0,4,6,18,ENC_dom,dominant,ENC,6,4
1,6,4,18,ENC_sub,submissive,ENC,4,6
0,4,3,19,EC_sub,submissive,EC,3,4
1,3,4,19,EC_dom,dominant,EC,4,3
0,6,5,19,EC_sub,submissive,EC,5,6
1,5,6,19,EC_dom,dominant,EC,6,5
0,1,2,19,EC_sub,submissive,EC,2,1
1,2,1,19,EC_dom,dominant,EC,1,2
1,3,5,20,HNC_dom,dominant,HNC,5,3
1,2,6,20,HNC_dom,dominant,HNC,6,2
1,4,1,20,HNC_dom,dominant,HNC,1,4
0,1,4,20,HNC_sub,submissive,HNC,4,1
0,5,3,20,HNC_sub,submissive,HNC,3,5
0,6,2,20,HNC_sub,submissive,HNC,2,6
1,5,6,21,ENC_dom,dominant,ENC,6,5
0,6,5,21,ENC_sub,submissive,ENC,5,6
1,3,4,21,ENC_dom,dominant,ENC,4,3
0,4,3,21,ENC_sub,submissive,ENC,3,4
1,2,1,21,ENC_dom,dominant,ENC,1,2
0,1,2,21,ENC_sub,submissive,ENC,2,1
0,4,6,22,HNC_sub,submissive,HNC,6,4
0,1,3,22,HNC_sub,submissive,HNC,3,1
1,3,1,22,HNC_dom,dominant,HNC,1,3
0,5,2,22,HNC_sub,submissive,HNC,2,5
1,2,5,22,HNC_dom,dominant,HNC,5,2
1,6,4,22,HNC_dom,dominant,HNC,4,6
1,2,4,23,EC_dom,dominant,EC,4,2
0,1,6,23,EC_sub,submissive,EC,6,1
1,6,1,23,EC_dom,dominant,EC,1,6
0,3,5,23,EC_sub,submissive,EC,5,3
1,5,3,23,EC_dom,dominant,EC,3,5
0,4,2,23,EC_sub,submissive,EC,2,4
1,3,5,24,ENC_sub,submissive,ENC,5,3
0,5,3,24,ENC_dom,dominant,ENC,3,5
1,2,6,24,ENC_sub,submissive,ENC,6,2
0,1,4,24,ENC_dom,dominant,ENC,4,1
1,4,1,24,ENC_sub,submissive,ENC,1,4
0,6,2,24,ENC_dom,dominant,ENC,2,6
1,6,3,25,HNC_sub,submissive,HNC,3,6
0,1,5,25,HNC_dom,dominant,HNC,5,1
1,5,1,25,HNC_sub,submissive,HNC,1,5
0,4,2,25,HNC_dom,dominant,HNC,2,4
1,2,4,25,HNC_sub,submissive,HNC,4,2
0,3,6,25,HNC_dom,dominant,HNC,6,3
0,1,4,26,HNC_dom,dominant,HNC,4,1
1,4,1,26,HNC_sub,submissive,HNC,1,4
0,6,2,26,HNC_dom,dominant,HNC,2,6
1,2,6,26,HNC_sub,submissive,HNC,6,2
0,5,3,26,HNC_dom,dominant,HNC,3,5
1,3,5,26,HNC_sub,submissive,HNC,5,3
1,6,3,27,HNC_dom,dominant,HNC,3,6
1,5,1,27,HNC_dom,dominant,HNC,1,5
0,1,5,27,HNC_sub,submissive,HNC,5,1
0,4,2,27,HNC_sub,submissive,HNC,2,4
1,2,4,27,HNC_dom,dominant,HNC,4,2
0,3,6,27,HNC_sub,submissive,HNC,6,3
1,5,4,28,HNC_dom,dominant,HNC,4,5
0,4,5,28,HNC_sub,submissive,HNC,5,4
1,2,3,28,HNC_dom,dominant,HNC,3,2
0,3,2,28,HNC_sub,submissive,HNC,2,3
1,6,1,28,HNC_dom,dominant,HNC,1,6
0,1,6,28,HNC_sub,submissive,HNC,6,1
0,4,6,29,HNC_dom,dominant,HNC,6,4
1,2,5,29,HNC_sub,submissive,HNC,5,2
