,participant,other_participant,round_nb,all_cond,manip,trial_cond,other_player_str,participant_str
0,1,2,1,EC_dom,dominant,EC,2,1
1,2,1,1,EC_sub,submissive,EC,1,2
0,3,5,1,EC_dom,dominant,EC,5,3
1,5,3,1,EC_sub,submissive,EC,3,5
0,4,6,1,EC_dom,dominant,EC,6,4
1,6,4,1,EC_sub,submissive,EC,4,6
1,6,3,2,ENC_sub,submissive,ENC,3,6
0,3,6,2,ENC_dom,dominant,ENC,6,3
1,2,4,2,ENC_sub,submissive,ENC,4,2
0,4,2,2,ENC_dom,dominant,ENC,2,4
1,5,1,2,ENC_sub,submissive,ENC,1,5
0,1,5,2,ENC_dom,dominant,ENC,5,1
0,4,5,3,ENC_sub,submissive,ENC,5,4
1,5,4,3,ENC_dom,dominant,ENC,4,5
1,2,3,3,ENC_dom,dominant,ENC,3,2
0,3,2,3,ENC_sub,submissive,ENC,2,3
1,6,1,3,ENC_dom,dominant,ENC,1,6
0,1,6,3,ENC_sub,submissive,ENC,6,1
1,3,5,4,HNC_dom,dominant,HNC,5,3
0,5,3,4,HNC_sub,submissive,HNC,3,5
1,2,6,4,HNC_dom,dominant,HNC,6,2
0,6,2,4,HNC_sub,submissive,HNC,2,6
1,4,1,4,HNC_dom,dominant,HNC,1,4
0,1,4,4,HNC_sub,submissive,HNC,4,1
1,3,1,5,HNC_sub,submissive,HNC,1,3
0,5,2,5,HNC_dom,dominant,HNC,2,5
1,2,5,5,HNC_sub,submissive,HNC,5,2
0,1,3,5,HNC_dom,dominant,HNC,3,1
1,6,4,5,HNC_sub,submissive,HNC,4,6
0,4,6,5,HNC_dom,dominant,HNC,6,4
1,4,1,6,ENC_sub,submissive,ENC,1,4
0,5,3,6,ENC_dom,dominant,ENC,3,5
1,2,6,6,ENC_sub,submissive,ENC,6,2
0,6,2,6,ENC_dom,dominant,ENC,2,6
0,1,4,6,ENC_dom,dominant,ENC,4,1
1,3,5,6,ENC_sub,submissive,ENC,5,3
1,5,6,7,ENC_dom,dominant,ENC,6,5
0,6,5,7,ENC_sub,submissive,ENC,5,6
0,1,2,7,ENC_sub,submissive,ENC,2,1
1,2,1,7,ENC_dom,dominant,ENC,1,2
0,4,3,7,ENC_sub,submissive,ENC,3,4
1,3,4,7,ENC_dom,dominant,ENC,4,3
1,2,5,8,HNC_dom,dominant,HNC,5,2
0,5,2,8,HNC_sub,submissive,HNC,2,5
1,3,1,8,HNC_dom,dominant,HNC,1,3
0,1,3,8,HNC_sub,submissive,HNC,3,1
1,6,4,8,HNC_dom,dominant,HNC,4,6
0,4,6,8,HNC_sub,submissive,HNC,6,4
0,1,2,9,ENC_dom,dominant,ENC,2,1
1,2,1,9,ENC_sub,submissive,ENC,1,2
0,4,3,9,ENC_dom,dominant,ENC,3,4
1,3,4,9,ENC_sub,submissive,ENC,4,3
0,6,5,9,ENC_dom,dominant,ENC,5,6
1,5,6,9,ENC_sub,submissive,ENC,6,5
0,1,5,10,ENC_sub,submissive,ENC,5,1
