,participant,other_participant,round_nb,all_cond,manip,trial_cond,other_player_str,participant_str
1,2,1,1,ENC_sub,submissive,ENC,1,2
0,1,2,1,ENC_dom,dominant,ENC,2,1
1,5,6,1,ENC_sub,submissive,ENC,6,5
0,4,3,1,ENC_dom,dominant,ENC,3,4
1,3,4,1,ENC_sub,submissive,ENC,4,3
0,6,5,1,ENC_dom,dominant,ENC,5,6
1,5,1,2,HNC_sub,submissive,HNC,1,5
0,4,2,2,HNC_dom,dominant,HNC,2,4
1,2,4,2,HNC_sub,submissive,HNC,4,2
0,3,6,2,HNC_dom,dominant,HNC,6,3
0,1,5,2,HNC_dom,dominant,HNC,5,1
1,6,3,2,HNC_sub,submissive,HNC,3,6
0,1,3,3,ENC_dom,dominant,ENC,3,1
1,6,4,3,ENC_sub,submissive,ENC,4,6
0,4,6,3,ENC_dom,dominant,ENC,6,4
0,5,2,3,ENC_dom,dominant,ENC,2,5
1,2,5,3,ENC_sub,submissive,ENC,5,2
1,3,1,3,ENC_sub,submissive,ENC,1,3
1,5,4,4,EC_sub,submissive,EC,4,5
0,1,6,4,EC_dom,dominant,EC,6,1
1,6,1,4,EC_sub,submissive,EC,1,6
0,3,2,4,EC_dom,dominant,EC,2,3
1,2,3,4,EC_sub,submissive,EC,3,2
0,4,5,4,EC_dom,dominant,EC,5,4
0,4,6,5,ENC_sub,submissive,ENC,6,4
0,5,2,5,ENC_sub,submissive,ENC,2,5
1,2,5,5,ENC_dom,dominant,ENC,5,2
1,3,1,5,ENC_dom,dominant,ENC,1,3
0,1,3,5,ENC_sub,submissive,ENC,3,1
1,6,4,5,ENC_dom,dominant,ENC,4,6
0,5,3,6,HNC_sub,submissive,HNC,3,5
1,3,5,6,HNC_dom,dominant,HNC,5,3
0,1,4,6,HNC_sub,submissive,HNC,4,1
1,4,1,6,HNC_dom,dominant,HNC,1,4
0,6,2,6,HNC_sub,submissive,HNC,2,6
1,2,6,6,HNC_dom,dominant,HNC,6,2
1,5,1,7,EC_dom,dominant,EC,1,5
0,1,5,7,EC_sub,submissive,EC,5,1
0,3,6,7,EC_sub,submissive,EC,6,3
0,4,2,7,EC_sub,submissive,EC,2,4
1,2,4,7,EC_dom,dominant,EC,4,2
1,6,3,7,EC_dom,dominant,EC,3,6
0,3,2,8,ENC_sub,submissive,ENC,2,3
1,2,3,8,ENC_dom,dominant,ENC,3,2
1,6,1,8,ENC_dom,dominant,ENC,1,6
0,1,6,8,ENC_sub,submissive,ENC,6,1
0,4,5,8,ENC_sub,submissive,ENC,5,4
1,5,4,8,ENC_dom,dominant,ENC,4,5
1,5,6,9,EC_dom,dominant,EC,6,5
0,4,3,9,EC_sub,submissive,EC,3,4
0,6,5,9,EC_sub,submissive,EC,5,6
1,2,1,9,EC_dom,dominant,EC,1,2
0,1,2,9,EC_sub,submissive,EC,2,1
1,3,4,9,EC_dom,dominant,EC,4,3
0,3,2,10,EC_sub,submissive,EC,2,3
0,4,5,10,EC_sub,submissive,EC,5,4
1,5,4,10,EC_dom,dominant,EC,4,5
