,participant,other_participant,round_nb,all_cond,manip,trial_cond,other_player_str,participant_str
0,1,5,1,EC_dom,dominant,EC,5,1
0,3,6,1,EC_dom,dominant,EC,6,3
1,6,3,1,EC_sub,submissive,EC,3,6
1,5,1,1,EC_sub,submissive,EC,1,5
1,2,4,1,EC_sub,submissive,EC,4,2
0,4,2,1,EC_dom,dominant,EC,2,4
1,3,1,2,HNC_dom,dominant,HNC,1,3
0,1,3,2,HNC_sub,submissive,HNC,3,1
0,5,2,2,HNC_sub,submissive,HNC,2,5
1,2,5,2,HNC_dom,dominant,HNC,5,2
1,6,4,2,HNC_dom,dominant,HNC,4,6
0,4,6,2,HNC_sub,submissive,HNC,6,4
1,5,6,3,ENC_dom,dominant,ENC,6,5
0,6,5,3,ENC_sub,submissive,ENC,5,6
1,3,4,3,ENC_dom,dominant,ENC,4,3
0,4,3,3,ENC_sub,submissive,ENC,3,4
1,2,1,3,ENC_dom,dominant,ENC,1,2
0,1,2,3,ENC_sub,submissive,ENC,2,1
1,5,4,4,HNC_dom,dominant,HNC,4,5
0,4,5,4,HNC_sub,submissive,HNC,5,4
1,2,3,4,HNC_dom,dominant,HNC,3,2
0,3,2,4,HNC_sub,submissive,HNC,2,3
1,6,1,4,HNC_dom,dominant,HNC,1,6
0,1,6,4,HNC_sub,submissive,HNC,6,1
1,5,1,5,HNC_dom,dominant,HNC,1,5
0,4,2,5,HNC_sub,submissive,HNC,2,4
1,2,4,5,HNC_dom,dominant,HNC,4,2
1,6,3,5,HNC_dom,dominant,HNC,3,6
0,1,5,5,HNC_sub,submissive,HNC,5,1
0,3,6,5,HNC_sub,submissive,HNC,6,3
0,3,2,6,EC_dom,dominant,EC,2,3
1,6,1,6,EC_sub,submissive,EC,1,6
0,1,6,6,EC_dom,dominant,EC,6,1
0,4,5,6,EC_dom,dominant,EC,5,4
1,2,3,6,EC_sub,submissive,EC,3,2
1,5,4,6,EC_sub,submissive,EC,4,5
0,5,2,7,ENC_dom,dominant,ENC,2,5
1,2,5,7,ENC_sub,submissive,ENC,5,2
1,6,4,7,ENC_sub,submissive,ENC,4,6
0,4,6,7,ENC_dom,dominant,ENC,6,4
0,1,3,7,ENC_dom,dominant,ENC,3,1
1,3,1,7,ENC_sub,submissive,ENC,1,3
0,1,5,8,ENC_sub,submissive,ENC,5,1
1,5,1,8,ENC_dom,dominant,ENC,1,5
0,3,6,8,ENC_sub,submissive,ENC,6,3
1,6,3,8,ENC_dom,dominant,ENC,3,6
1,2,4,8,ENC_dom,dominant,ENC,4,2
0,4,2,8,ENC_sub,submissive,ENC,2,4
1,5,1,9,EC_sub,submissive,EC,1,5
0,3,6,9,EC_dom,dominant,EC,6,3
1,6,3,9,EC_sub,submissive,EC,3,6
0,4,2,9,EC_dom,dominant,EC,2,4
1,2,4,9,EC_sub,submissive,EC,4,2
0,1,5,9,EC_dom,dominant,EC,5,1
1,3,1,10,HNC_sub,submissive,HNC,1,3
0,5,2,10,HNC_dom,dominant,HNC,2,5
1,2,5,10,HNC_sub,submissive,HNC,5,2
0,4,6,10,HNC_dom,dominant,HNC,6,4
1,6,4,10,HNC_sub,submissive,HNC,4,6
0,1,3,10,HNC_dom,dominant,HNC,3,1
0,1,5,11,EC_sub,submissive,EC,5,1
0,4,2,11,EC_sub,submissive,EC,2,4
1,2,4,11,EC_dom,dominant,EC,4,2
1,5,1,11,EC_dom,dominant,EC,1,5
1,6,3,11,EC_dom,dominant,EC,3,6
0,3,6,11,EC_sub,submissive,EC,6,3
1,3,5,12,EC_sub,submissive,EC,5,3
0,5,3,12,EC_dom,dominant,EC,3,5
1,2,6,12,EC_sub,submissive,EC,6,2
0,1,4,12,EC_dom,dominant,EC,4,1
0,6,2,12,EC_dom,dominant,EC,2,6
1,4,1,12,EC_sub,submissive,EC,1,4
0,1,2,13,ENC_dom,dominant,ENC,2,1
0,4,3,13,ENC_dom,dominant,ENC,3,4
1,2,1,13,ENC_sub,submissive,ENC,1,2
0,6,5,13,ENC_dom,dominant,ENC,5,6
1,5,6,13,ENC_sub,submissive,ENC,6,5
1,3,4,13,ENC_sub,submissive,ENC,4,3
1,3,1,14,EC_dom,dominant,EC,1,3
0,5,2,14,EC_sub,submissive,EC,2,5
1,2,5,14,EC_dom,dominant,EC,5,2
0,4,6,14,EC_sub,submissive,EC,6,4
1,6,4,14,EC_dom,dominant,EC,4,6
0,1,3,14,EC_sub,submissive,EC,3,1
0,1,5,15,HNC_dom,dominant,HNC,5,1
1,5,1,15,HNC_sub,submissive,HNC,1,5
1,2,4,15,HNC_sub,submissive,HNC,4,2
0,3,6,15,HNC_dom,dominant,HNC,6,3
1,6,3,15,HNC_sub,submissive,HNC,3,6
0,4,2,15,HNC_dom,dominant,HNC,2,4
0,6,2,16,HNC_sub,submissive,HNC,2,6
0,5,3,16,HNC_sub,submissive,HNC,3,5
1,2,6,16,HNC_dom,dominant,HNC,6,2
1,4,1,16,HNC_dom,dominant,HNC,1,4
0,1,4,16,HNC_sub,submissive,HNC,4,1
1,3,5,16,HNC_dom,dominant,HNC,5,3
1,3,1,17,EC_sub,submissive,EC,1,3
0,5,2,17,EC_dom,dominant,EC,2,5
1,2,5,17,EC_sub,submissive,EC,5,2
0,4,6,17,EC_dom,dominant,EC,6,4
1,6,4,17,EC_sub,submissive,EC,4,6
0,1,3,17,EC_dom,dominant,EC,3,1
0,1,2,18,HNC_dom,dominant,HNC,2,1
1,2,1,18,HNC_sub,submissive,HNC,1,2
0,4,3,18,HNC_dom,dominant,HNC,3,4
1,3,4,18,HNC_sub,submissive,HNC,4,3
0,6,5,18,HNC_dom,dominant,HNC,5,6
1,5,6,18,HNC_sub,submissive,HNC,6,5
1,6,4,19,ENC_dom,dominant,ENC,4,6
1,2,5,19,ENC_dom,dominant,ENC,5,2
0,5,2,19,ENC_sub,submissive,ENC,2,5
1,3,1,19,ENC_dom,dominant,ENC,1,3
0,1,3,19,ENC_sub,submissive,ENC,3,1
0,4,6,19,ENC_sub,submissive,ENC,6,4
1,3,5,20,HNC_sub,submissive,HNC,5,3
0,5,3,20,HNC_dom,dominant,HNC,3,5
