,participant,other_participant,round_nb,all_cond,manip,trial_cond,other_player_str,participant_str
1,3,4,1,HNC_dom,dominant,HNC,4,3
0,1,2,1,HNC_sub,submissive,HNC,2,1
1,2,1,1,HNC_dom,dominant,HNC,1,2
0,4,3,1,HNC_sub,submissive,HNC,3,4
0,6,5,1,HNC_sub,submissive,HNC,5,6
1,5,6,1,HNC_dom,dominant,HNC,6,5
1,6,4,2,ENC_sub,submissive,ENC,4,6
1,2,5,2,ENC_sub,submissive,ENC,5,2
0,5,2,2,ENC_dom,dominant,ENC,2,5
1,3,1,2,ENC_sub,submissive,ENC,1,3
0,1,3,2,ENC_dom,dominant,ENC,3,1
0,4,6,2,ENC_dom,dominant,ENC,6,4
1,5,1,3,ENC_dom,dominant,ENC,1,5
0,3,6,3,ENC_sub,submissive,ENC,6,3
1,2,4,3,ENC_dom,dominant,ENC,4,2
0,4,2,3,ENC_sub,submissive,ENC,2,4
0,1,5,3,ENC_sub,submissive,ENC,5,1
1,6,3,3,ENC_dom,dominant,ENC,3,6
0,1,6,4,EC_sub,submissive,EC,6,1
1,6,1,4,EC_dom,dominant,EC,1,6
0,3,5,4,EC_sub,submissive,EC,5,3
1,5,3,4,EC_dom,dominant,EC,3,5
0,4,2,4,EC_sub,submissive,EC,2,4
1,2,4,4,EC_dom,dominant,EC,4,2
0,4,2,5,HNC_sub,submissive,HNC,2,4
1,2,4,5,HNC_dom,dominant,HNC,4,2
0,3,6,5,HNC_sub,submissive,HNC,6,3
1,6,3,5,HNC_dom,dominant,HNC,3,6
0,1,5,5,HNC_sub,submissive,HNC,5,1
1,5,1,5,HNC_dom,dominant,HNC,1,5
1,5,4,6,ENC_sub,submissive,ENC,4,5
1,6,1,6,ENC_sub,submissive,ENC,1,6
0,1,6,6,ENC_dom,dominant,ENC,6,1
0,4,5,6,ENC_dom,dominant,ENC,5,4
1,2,3,6,ENC_sub,submissive,ENC,3,2
0,3,2,6,ENC_dom,dominant,ENC,2,3
1,2,5,7,ENC_dom,dominant,ENC,5,2
1,6,4,7,ENC_dom,dominant,ENC,4,6
0,4,6,7,ENC_sub,submissive,ENC,6,4
