,participant,other_participant,round_nb,all_cond,manip,trial_cond,other_player_str,participant_str
0,1,6,1,HNC_dom,dominant,HNC,6,1
1,6,1,1,HNC_sub,submissive,HNC,1,6
0,3,2,1,HNC_dom,dominant,HNC,2,3
1,2,3,1,HNC_sub,submissive,HNC,3,2
0,4,5,1,HNC_dom,dominant,HNC,5,4
1,5,4,1,HNC_sub,submissive,HNC,4,5
0,3,6,2,EC_dom,dominant,EC,6,3
0,1,5,2,EC_dom,dominant,EC,5,1
1,5,1,2,EC_sub,submissive,EC,1,5
0,4,2,2,EC_dom,dominant,EC,2,4
1,2,4,2,EC_sub,submissive,EC,4,2
1,6,3,2,EC_sub,submissive,EC,3,6
0,1,3,3,ENC_sub,submissive,ENC,3,1
1,6,4,3,ENC_dom,dominant,ENC,4,6
0,4,6,3,ENC_sub,submissive,ENC,6,4
1,2,5,3,ENC_dom,dominant,ENC,5,2
0,5,2,3,ENC_sub,submissive,ENC,2,5
1,3,1,3,ENC_dom,dominant,ENC,1,3
0,5,3,4,EC_dom,dominant,EC,3,5
1,3,5,4,EC_sub,submissive,EC,5,3
0,1,4,4,EC_dom,dominant,EC,4,1
1,4,1,4,EC_sub,submissive,EC,1,4
0,6,2,4,EC_dom,dominant,EC,2,6
1,2,6,4,EC_sub,submissive,EC,6,2
0,4,3,5,HNC_dom,dominant,HNC,3,4
1,2,1,5,HNC_sub,submissive,HNC,1,2
0,1,2,5,HNC_dom,dominant,HNC,2,1
0,6,5,5,HNC_dom,dominant,HNC,5,6
1,3,4,5,HNC_sub,submissive,HNC,4,3
1,5,6,5,HNC_sub,submissive,HNC,6,5
1,6,4,6,HNC_dom,dominant,HNC,4,6
0,4,6,6,HNC_sub,submissive,HNC,6,4
1,2,5,6,HNC_dom,dominant,HNC,5,2
1,3,1,6,HNC_dom,dominant,HNC,1,3
0,1,3,6,HNC_sub,submissive,HNC,3,1
0,5,2,6,HNC_sub,submissive,HNC,2,5
0,1,5,7,ENC_dom,dominant,ENC,5,1
0,4,2,7,ENC_dom,dominant,ENC,2,4
1,2,4,7,ENC_sub,submissive,ENC,4,2
0,3,6,7,ENC_dom,dominant,ENC,6,3
1,6,3,7,ENC_sub,submissive,ENC,3,6
1,5,1,7,ENC_sub,submissive,ENC,1,5
0,1,6,8,EC_sub,submissive,EC,6,1
1,6,1,8,EC_dom,dominant,EC,1,6
0,3,2,8,EC_sub,submissive,EC,2,3
1,2,3,8,EC_dom,dominant,EC,3,2
0,4,5,8,EC_sub,submissive,EC,5,4
1,5,4,8,EC_dom,dominant,EC,4,5
1,5,6,9,ENC_dom,dominant,ENC,6,5
0,6,5,9,ENC_sub,submissive,ENC,5,6
1,3,4,9,ENC_dom,dominant,ENC,4,3
0,4,3,9,ENC_sub,submissive,ENC,3,4
1,2,1,9,ENC_dom,dominant,ENC,1,2
0,1,2,9,ENC_sub,submissive,ENC,2,1
1,3,1,10,ENC_sub,submissive,ENC,1,3
1,6,4,10,ENC_sub,submissive,ENC,4,6
0,4,6,10,ENC_dom,dominant,ENC,6,4
0,1,3,10,ENC_dom,dominant,ENC,3,1
1,2,5,10,ENC_sub,submissive,ENC,5,2
0,5,2,10,ENC_dom,dominant,ENC,2,5
0,5,3,11,HNC_dom,dominant,HNC,3,5
1,2,6,11,HNC_sub,submissive,HNC,6,2
1,3,5,11,HNC_sub,submissive,HNC,5,3
0,6,2,11,HNC_dom,dominant,HNC,2,6
1,4,1,11,HNC_sub,submissive,HNC,1,4
0,1,4,11,HNC_dom,dominant,HNC,4,1
0,1,2,12,EC_sub,submissive,EC,2,1
1,2,1,12,EC_dom,dominant,EC,1,2
0,4,3,12,EC_sub,submissive,EC,3,4
1,3,4,12,EC_dom,dominant,EC,4,3
0,6,5,12,EC_sub,submissive,EC,5,6
1,5,6,12,EC_dom,dominant,EC,6,5
1,5,4,13,ENC_sub,submissive,ENC,4,5
0,1,6,13,ENC_dom,dominant,ENC,6,1
1,6,1,13,ENC_sub,submissive,ENC,1,6
0,3,2,13,ENC_dom,dominant,ENC,2,3
1,2,3,13,ENC_sub,submissive,ENC,3,2
0,4,5,13,ENC_dom,dominant,ENC,5,4
0,1,4,14,ENC_sub,submissive,ENC,4,1
0,5,3,14,ENC_sub,submissive,ENC,3,5
1,2,6,14,ENC_dom,dominant,ENC,6,2
0,6,2,14,ENC_sub,submissive,ENC,2,6
1,3,5,14,ENC_dom,dominant,ENC,5,3
1,4,1,14,ENC_dom,dominant,ENC,1,4
0,1,5,15,EC_sub,submissive,EC,5,1
0,4,6,15,EC_sub,submissive,EC,6,4
1,6,4,15,EC_dom,dominant,EC,4,6
0,3,2,15,EC_sub,submissive,EC,2,3
1,5,1,15,EC_dom,dominant,EC,1,5
1,2,3,15,EC_dom,dominant,EC,3,2
1,2,5,16,HNC_sub,submissive,HNC,5,2
0,5,2,16,HNC_dom,dominant,HNC,2,5
1,3,1,16,HNC_sub,submissive,HNC,1,3
0,1,3,16,HNC_dom,dominant,HNC,3,1
0,4,6,16,HNC_dom,dominant,HNC,6,4
1,6,4,16,HNC_sub,submissive,HNC,4,6
0,6,2,17,ENC_dom,dominant,ENC,2,6
0,1,4,17,ENC_dom,dominant,ENC,4,1
1,4,1,17,ENC_sub,submissive,ENC,1,4
1,3,5,17,ENC_sub,submissive,ENC,5,3
1,2,6,17,ENC_sub,submissive,ENC,6,2
0,5,3,17,ENC_dom,dominant,ENC,3,5
1,6,1,18,EC_sub,submissive,EC,1,6
0,4,2,18,EC_dom,dominant,EC,2,4
0,3,5,18,EC_dom,dominant,EC,5,3
1,5,3,18,EC_sub,submissive,EC,3,5
1,2,4,18,EC_sub,submissive,EC,4,2
0,1,6,18,EC_dom,dominant,EC,6,1
0,1,2,19,HNC_sub,submissive,HNC,2,1
1,2,1,19,HNC_dom,dominant,HNC,1,2
0,4,3,19,HNC_sub,submissive,HNC,3,4
0,6,5,19,HNC_sub,submissive,HNC,5,6
1,3,4,19,HNC_dom,dominant,HNC,4,3
1,5,6,19,HNC_dom,dominant,HNC,6,5
1,2,4,20,HNC_dom,dominant,HNC,4,2
1,6,3,20,HNC_dom,dominant,HNC,3,6
0,4,2,20,HNC_sub,submissive,HNC,2,4
1,5,1,20,HNC_dom,dominant,HNC,1,5
0,1,5,20,HNC_sub,submissive,HNC,5,1
0,3,6,20,HNC_sub,submissive,HNC,6,3
1,2,1,21,EC_sub,submissive,EC,1,2
0,1,2,21,EC_dom,dominant,EC,2,1
0,4,6,21,EC_dom,dominant,EC,6,4
1,5,3,21,EC_sub,submissive,EC,3,5
0,3,5,21,EC_dom,dominant,EC,5,3
1,6,4,21,EC_sub,submissive,EC,4,6
1,5,4,22,ENC_dom,dominant,ENC,4,5
1,2,3,22,ENC_dom,dominant,ENC,3,2
0,3,2,22,ENC_sub,submissive,ENC,2,3
1,6,1,22,ENC_dom,dominant,ENC,1,6
0,1,6,22,ENC_sub,submissive,ENC,6,1
0,4,5,22,ENC_sub,submissive,ENC,5,4
0,1,3,23,EC_dom,dominant,EC,3,1
1,3,1,23,EC_sub,submissive,EC,1,3
0,5,2,23,EC_dom,dominant,EC,2,5
1,2,5,23,EC_sub,submissive,EC,5,2
0,4,6,23,EC_dom,dominant,EC,6,4
1,6,4,23,EC_sub,submissive,EC,4,6
0,1,2,24,ENC_dom,dominant,ENC,2,1
1,5,6,24,ENC_sub,submissive,ENC,6,5
1,2,1,24,ENC_sub,submissive,ENC,1,2
0,6,5,24,ENC_dom,dominant,ENC,5,6
1,3,4,24,ENC_sub,submissive,ENC,4,3
0,4,3,24,ENC_dom,dominant,ENC,3,4
0,4,5,25,HNC_sub,submissive,HNC,5,4
1,2,3,25,HNC_dom,dominant,HNC,3,2
0,3,2,25,HNC_sub,submissive,HNC,2,3
1,6,1,25,HNC_dom,dominant,HNC,1,6
0,1,6,25,HNC_sub,submissive,HNC,6,1
1,5,4,25,HNC_dom,dominant,HNC,4,5
1,5,4,26,EC_sub,submissive,EC,4,5
0,3,2,26,EC_dom,dominant,EC,2,3
1,6,1,26,EC_sub,submissive,EC,1,6
0,1,6,26,EC_dom,dominant,EC,6,1
0,4,5,26,EC_dom,dominant,EC,5,4
1,2,3,26,EC_sub,submissive,EC,3,2
0,4,2,27,HNC_dom,dominant,HNC,2,4
1,5,1,27,HNC_sub,submissive,HNC,1,5
1,2,4,27,HNC_sub,submissive,HNC,4,2
0,3,6,27,HNC_dom,dominant,HNC,6,3
1,6,3,27,HNC_sub,submissive,HNC,3,6
0,1,5,27,HNC_dom,dominant,HNC,5,1
0,6,2,28,HNC_sub,submissive,HNC,2,6
0,1,4,28,HNC_sub,submissive,HNC,4,1
1,3,5,28,HNC_dom,dominant,HNC,5,3
0,5,3,28,HNC_sub,submissive,HNC,3,5
1,2,6,28,HNC_dom,dominant,HNC,6,2
1,4,1,28,HNC_dom,dominant,HNC,1,4
0,4,2,29,ENC_sub,submissive,ENC,2,4
1,2,4,29,ENC_dom,dominant,ENC,4,2
0,3,6,29,ENC_sub,submissive,ENC,6,3
1,6,3,29,ENC_dom,dominant,ENC,3,6
1,5,1,29,ENC_dom,dominant,ENC,1,5
0,1,5,29,ENC_sub,submissive,ENC,5,1
1,6,4,30,EC_dom,dominant,EC,4,6
0,4,6,30,EC_sub,submissive,EC,6,4
0,1,2,30,EC_sub,submissive,EC,2,1
1,2,1,30,EC_dom,dominant,EC,1,2
0,3,5,30,EC_sub,submissive,EC,5,3
1,5,3,30,EC_dom,dominant,EC,3,5
0,1,5,31,EC_sub,submissive,EC,5,1
1,5,1,31,EC_dom,dominant,EC,1,5
0,4,2,31,EC_sub,submissive,EC,2,4
1,2,4,31,EC_dom,dominant,EC,4,2
0,3,6,31,EC_sub,submissive,EC,6,3
1,6,3,31,EC_dom,dominant,EC,3,6
0,6,5,32,EC_dom,dominant,EC,5,6
1,3,4,32,EC_sub,submissive,EC,4,3
0,4,3,32,EC_dom,dominant,EC,3,4
1,2,1,32,EC_sub,submissive,EC,1,2
0,1,2,32,EC_dom,dominant,EC,2,1
1,5,6,32,EC_sub,submissive,EC,6,5
0,5,2,33,EC_sub,submissive,EC,2,5
0,1,3,33,EC_sub,submissive,EC,3,1
1,3,1,33,EC_dom,dominant,EC,1,3
1,2,5,33,EC_dom,dominant,EC,5,2
0,4,6,33,EC_sub,submissive,EC,6,4
1,6,4,33,EC_dom,dominant,EC,4,6
0,1,4,34,EC_sub,submissive,EC,4,1
1,4,1,34,EC_dom,dominant,EC,1,4
0,6,2,34,EC_sub,submissive,EC,2,6
1,2,6,34,EC_dom,dominant,EC,6,2
1,3,5,34,EC_dom,dominant,EC,5,3
0,5,3,34,EC_sub,submissive,EC,3,5
