,participant,other_participant,round_nb,all_cond,manip,trial_cond,other_player_str,participant_str
1,3,5,1,HNC_dom,dominant,HNC,5,3
1,2,6,1,HNC_dom,dominant,HNC,6,2
0,6,2,1,HNC_sub,submissive,HNC,2,6
1,4,1,1,HNC_dom,dominant,HNC,1,4
0,1,4,1,HNC_sub,submissive,HNC,4,1
0,5,3,1,HNC_sub,submissive,HNC,3,5
1,5,4,2,HNC_sub,submissive,HNC,4,5
1,2,3,2,HNC_sub,submissive,HNC,3,2
0,4,5,2,HNC_dom,dominant,HNC,5,4
0,1,6,2,HNC_dom,dominant,HNC,6,1
1,6,1,2,HNC_sub,submissive,HNC,1,6
0,3,2,2,HNC_dom,dominant,HNC,2,3
0,1,3,3,HNC_dom,dominant,HNC,3,1
1,6,4,3,HNC_sub,submissive,HNC,4,6
0,4,6,3,HNC_dom,dominant,HNC,6,4
1,2,5,3,HNC_sub,submissive,HNC,5,2
0,5,2,3,HNC_dom,dominant,HNC,2,5
1,3,1,3,HNC_sub,submissive,HNC,1,3
0,1,2,4,EC_dom,dominant,EC,2,1
1,2,1,4,EC_sub,submissive,EC,1,2
0,4,3,4,EC_dom,dominant,EC,3,4
1,3,4,4,EC_sub,submissive,EC,4,3
0,6,5,4,EC_dom,dominant,EC,5,6
1,5,6,4,EC_sub,submissive,EC,6,5
0,1,5,5,HNC_dom,dominant,HNC,5,1
0,4,2,5,HNC_dom,dominant,HNC,2,4
1,2,4,5,HNC_sub,submissive,HNC,4,2
0,3,6,5,HNC_dom,dominant,HNC,6,3
1,5,1,5,HNC_sub,submissive,HNC,1,5
1,6,3,5,HNC_sub,submissive,HNC,3,6
0,6,2,6,HNC_dom,dominant,HNC,2,6
0,1,4,6,HNC_dom,dominant,HNC,4,1
1,4,1,6,HNC_sub,submissive,HNC,1,4
1,3,5,6,HNC_sub,submissive,HNC,5,3
0,5,3,6,HNC_dom,dominant,HNC,3,5
1,2,6,6,HNC_sub,submissive,HNC,6,2
1,6,4,7,EC_sub,submissive,EC,4,6
0,1,3,7,EC_dom,dominant,EC,3,1
1,3,1,7,EC_sub,submissive,EC,1,3
1,2,5,7,EC_sub,submissive,EC,5,2
0,5,2,7,EC_dom,dominant,EC,2,5
0,4,6,7,EC_dom,dominant,EC,6,4
1,2,5,8,ENC_sub,submissive,ENC,5,2
0,4,6,8,ENC_dom,dominant,ENC,6,4
0,1,3,8,ENC_dom,dominant,ENC,3,1
1,3,1,8,ENC_sub,submissive,ENC,1,3
0,5,2,8,ENC_dom,dominant,ENC,2,5
1,6,4,8,ENC_sub,submissive,ENC,4,6
0,4,5,9,HNC_sub,submissive,HNC,5,4
0,1,6,9,HNC_sub,submissive,HNC,6,1
1,6,1,9,HNC_dom,dominant,HNC,1,6
0,3,2,9,HNC_sub,submissive,HNC,2,3
1,2,3,9,HNC_dom,dominant,HNC,3,2
1,5,4,9,HNC_dom,dominant,HNC,4,5
1,2,4,10,HNC_dom,dominant,HNC,4,2
0,3,6,10,HNC_sub,submissive,HNC,6,3
0,4,2,10,HNC_sub,submissive,HNC,2,4
1,6,3,10,HNC_dom,dominant,HNC,3,6
0,1,5,10,HNC_sub,submissive,HNC,5,1
1,5,1,10,HNC_dom,dominant,HNC,1,5
0,1,2,11,ENC_sub,submissive,ENC,2,1
0,4,3,11,ENC_sub,submissive,ENC,3,4
1,3,4,11,ENC_dom,dominant,ENC,4,3
0,6,5,11,ENC_sub,submissive,ENC,5,6
1,5,6,11,ENC_dom,dominant,ENC,6,5
1,2,1,11,ENC_dom,dominant,ENC,1,2
0,1,5,12,ENC_dom,dominant,ENC,5,1
1,5,1,12,ENC_sub,submissive,ENC,1,5
0,4,2,12,ENC_dom,dominant,ENC,2,4
1,2,4,12,ENC_sub,submissive,ENC,4,2
0,3,6,12,ENC_dom,dominant,ENC,6,3
1,6,3,12,ENC_sub,submissive,ENC,3,6
1,3,5,13,ENC_dom,dominant,ENC,5,3
1,4,1,13,ENC_dom,dominant,ENC,1,4
0,6,2,13,ENC_sub,submissive,ENC,2,6
1,2,6,13,ENC_dom,dominant,ENC,6,2
0,5,3,13,ENC_sub,submissive,ENC,3,5
0,1,4,13,ENC_sub,submissive,ENC,4,1
0,3,6,14,EC_dom,dominant,EC,6,3
1,2,4,14,EC_sub,submissive,EC,4,2
0,4,2,14,EC_dom,dominant,EC,2,4
1,5,1,14,EC_sub,submissive,EC,1,5
0,1,5,14,EC_dom,dominant,EC,5,1
1,6,3,14,EC_sub,submissive,EC,3,6
1,6,1,15,EC_sub,submissive,EC,1,6
1,5,4,15,EC_sub,submissive,EC,4,5
0,4,5,15,EC_dom,dominant,EC,5,4
1,2,3,15,EC_sub,submissive,EC,3,2
0,3,2,15,EC_dom,dominant,EC,2,3
0,1,6,15,EC_dom,dominant,EC,6,1
0,4,2,16,EC_sub,submissive,EC,2,4
1,6,3,16,EC_dom,dominant,EC,3,6
0,3,6,16,EC_sub,submissive,EC,6,3
1,2,4,16,EC_dom,dominant,EC,4,2
0,1,5,16,EC_sub,submissive,EC,5,1
1,5,1,16,EC_dom,dominant,EC,1,5
0,1,3,17,EC_sub,submissive,EC,3,1
1,6,4,17,EC_dom,dominant,EC,4,6
0,4,6,17,EC_sub,submissive,EC,6,4
1,2,5,17,EC_dom,dominant,EC,5,2
0,5,2,17,EC_sub,submissive,EC,2,5
1,3,1,17,EC_dom,dominant,EC,1,3
1,5,4,18,EC_sub,submissive,EC,4,5
0,4,5,18,EC_dom,dominant,EC,5,4
1,6,1,18,EC_sub,submissive,EC,1,6
0,3,2,18,EC_dom,dominant,EC,2,3
1,2,3,18,EC_sub,submissive,EC,3,2
0,1,6,18,EC_dom,dominant,EC,6,1
1,6,3,19,ENC_dom,dominant,ENC,3,6
0,3,6,19,ENC_sub,submissive,ENC,6,3
1,2,4,19,ENC_dom,dominant,ENC,4,2
0,4,2,19,ENC_sub,submissive,ENC,2,4
1,5,1,19,ENC_dom,dominant,ENC,1,5
0,1,5,19,ENC_sub,submissive,ENC,5,1
0,1,6,20,EC_sub,submissive,EC,6,1
1,6,1,20,EC_dom,dominant,EC,1,6
0,3,2,20,EC_sub,submissive,EC,2,3
1,2,3,20,EC_dom,dominant,EC,3,2
0,4,5,20,EC_sub,submissive,EC,5,4
1,5,4,20,EC_dom,dominant,EC,4,5
0,1,2,21,HNC_sub,submissive,HNC,2,1
1,5,6,21,HNC_dom,dominant,HNC,6,5
0,6,5,21,HNC_sub,submissive,HNC,5,6
1,3,4,21,HNC_dom,dominant,HNC,4,3
0,4,3,21,HNC_sub,submissive,HNC,3,4
1,2,1,21,HNC_dom,dominant,HNC,1,2
1,3,5,22,EC_sub,submissive,EC,5,3
0,5,3,22,EC_dom,dominant,EC,3,5
1,2,6,22,EC_sub,submissive,EC,6,2
0,6,2,22,EC_dom,dominant,EC,2,6
1,4,1,22,EC_sub,submissive,EC,1,4
0,1,4,22,EC_dom,dominant,EC,4,1
1,5,4,23,ENC_sub,submissive,ENC,4,5
0,4,5,23,ENC_dom,dominant,ENC,5,4
1,2,3,23,ENC_sub,submissive,ENC,3,2
0,1,6,23,ENC_dom,dominant,ENC,6,1
1,6,1,23,ENC_sub,submissive,ENC,1,6
0,3,2,23,ENC_dom,dominant,ENC,2,3
1,2,1,24,HNC_sub,submissive,HNC,1,2
0,1,2,24,HNC_dom,dominant,HNC,2,1
0,4,3,24,HNC_dom,dominant,HNC,3,4
1,3,4,24,HNC_sub,submissive,HNC,4,3
0,6,5,24,HNC_dom,dominant,HNC,5,6
1,5,6,24,HNC_sub,submissive,HNC,6,5
0,1,6,25,EC_sub,submissive,EC,6,1
1,6,1,25,EC_dom,dominant,EC,1,6
0,3,2,25,EC_sub,submissive,EC,2,3
1,5,4,25,EC_dom,dominant,EC,4,5
0,4,5,25,EC_sub,submissive,EC,5,4
1,2,3,25,EC_dom,dominant,EC,3,2
0,1,3,26,ENC_sub,submissive,ENC,3,1
0,5,2,26,ENC_sub,submissive,ENC,2,5
1,2,5,26,ENC_dom,dominant,ENC,5,2
0,4,6,26,ENC_sub,submissive,ENC,6,4
1,6,4,26,ENC_dom,dominant,ENC,4,6
1,3,1,26,ENC_dom,dominant,ENC,1,3
0,1,6,27,ENC_sub,submissive,ENC,6,1
1,5,4,27,ENC_dom,dominant,ENC,4,5
0,4,5,27,ENC_sub,submissive,ENC,5,4
1,2,3,27,ENC_dom,dominant,ENC,3,2
0,3,2,27,ENC_sub,submissive,ENC,2,3
1,6,1,27,ENC_dom,dominant,ENC,1,6
1,5,6,28,EC_dom,dominant,EC,6,5
0,6,5,28,EC_sub,submissive,EC,5,6
1,3,4,28,EC_dom,dominant,EC,4,3
0,1,2,28,EC_sub,submissive,EC,2,1
1,2,1,28,EC_dom,dominant,EC,1,2
0,4,3,28,EC_sub,submissive,EC,3,4
0,1,3,29,HNC_sub,submissive,HNC,3,1
1,3,1,29,HNC_dom,dominant,HNC,1,3
1,2,5,29,HNC_dom,dominant,HNC,5,2
0,4,6,29,HNC_sub,submissive,HNC,6,4
1,6,4,29,HNC_dom,dominant,HNC,4,6
0,5,2,29,HNC_sub,submissive,HNC,2,5
1,3,5,30,ENC_sub,submissive,ENC,5,3
0,5,3,30,ENC_dom,dominant,ENC,3,5
1,2,6,30,ENC_sub,submissive,ENC,6,2
0,6,2,30,ENC_dom,dominant,ENC,2,6
1,4,1,30,ENC_sub,submissive,ENC,1,4
0,1,4,30,ENC_dom,dominant,ENC,4,1
1,3,4,31,ENC_sub,submissive,ENC,4,3
1,2,1,31,ENC_sub,submissive,ENC,1,2
1,5,6,31,ENC_sub,submissive,ENC,6,5
0,6,5,31,ENC_dom,dominant,ENC,5,6
0,1,2,31,ENC_dom,dominant,ENC,2,1
0,4,3,31,ENC_dom,dominant,ENC,3,4
0,1,4,32,EC_sub,submissive,EC,4,1
1,2,6,32,EC_dom,dominant,EC,6,2
1,4,1,32,EC_dom,dominant,EC,1,4
0,6,2,32,EC_sub,submissive,EC,2,6
0,5,3,32,EC_sub,submissive,EC,3,5
